no_of_samples;enb_rssi;ue_rssi;enb_rsrp;ue_rsrp;enb_pwr;ue_pwr
322;-51;-54;-69;-67;-23.0839;-21.522967
323;-53;-54;-75;-67;-24.5387;-22.663567
324;-44;-53;-67;-66;-19.4541;-22.432966
325;-46;-56;-68;-70;-20.9887;-19.91227
326;-52;-57;-71;-71;-22.4521;-19.293571
327;-49;-56;-76;-69;-23.2561;-20.611769
328;-50;-55;-76;-69;-23.0913;-20.74869
329;-49;-56;-74;-69;-21.1493;-20.581569
330;-49;-56;-69;-69;-21.2097;-20.707969
331;-44;-56;-67;-69;-19.4128;-20.61969
332;-50;-56;-70;-69;-24.8391;-20.651269
333;-49;-55;-74;-68;-23.4703;-21.147768
334;-49;-55;-74;-69;-23.3049;-20.427469
335;-48;-54;-73;-68;-21.2891;-21.51868
336;-51;-53;-74;-67;-23.8909;-22.199767
337;-49;-53;-70;-67;-20.9406;-22.034267
338;-50;-54;-70;-67;-23.5316;-21.783967
339;-53;-54;-74;-68;-25.2099;-21.111368
340;-49;-55;-73;-68;-23.6774;-20.838668
341;-47;-54;-71;-67;-22.0309;-21.720467
342;-48;-53;-71;-67;-22.4486;-22.073167
343;-47;-54;-73;-67;-21.1098;-21.889567
344;-48;-55;-74;-68;-20.6039;-20.928268
345;-49;-55;-73;-68;-21.9643;-20.877168
346;-48;-55;-71;-68;-22.6073;-20.943568
347;-48;-55;-71;-68;-22.5947;-20.901368
348;-46;-55;-70;-68;-21.4214;-20.918668
349;-48;-54;-71;-67;-21.9401;-22.083267
350;-51;-53;-78;-66;-24.7661;-22.163666
351;-49;-53;-77;-67;-22.2319;-22.497667
352;-50;-54;-75;-68;-22.9668;-21.571368
353;-50;-55;-71;-68;-22.9838;-21.095868
354;-50;-54;-70;-68;-22.3521;-21.380668
355;-49;-53;-71;-67;-23.5573;-22.251267
356;-48;-54;-72;-67;-22.7435;-21.986967
357;-46;-54;-68;-67;-19.8092;-21.812167
358;-48;-54;-71;-68;-21.7439;-21.227668
359;-51;-54;-78;-68;-24.606;-21.274768
360;;;;;;
361;-50;-59;-74;-74;-22.5622;-14.647774
362;-48;-60;-73;-75;-23.9217;-15.850375
363;-52;-58;-75;-72;-23.6489;-16.772772
364;-46;-58;-69;-72;-21.6815;-17.124572
365;-47;-58;-72;-71;-22.9411;-18.882771
366;-50;-58;-75;-73;-23.3581;-17.227473
367;-48;-59;-73;-73;-21.5691;-15.80673
368;-54;-59;-77;-74;-27.991;-16.02674
369;-52;-59;-84;-74;-24.2082;-14.813674
370;-52;-60;-82;-76;-22.6947;-13.292476
371;-51;-61;-86;-79;-27.4161;-10.991879
372;-50;-61;-88;-80;-26.8701;-10.68088
373;-52;-61;-87;-80;-26.976;-10.63258
374;-53;-61;-87;-80;-26.9413;-12.40078
375;-55;-60;-88;-76;-27.3531;-16.363476
376;-57;-60;-88;-76;-30.1467;-16.227476
377;-50;-60;-75;-75;-23.0765;-15.663975
378;-47;-59;-67;-74;-21.5119;-16.900474
379;-48;-58;-73;-72;-22.968;-17.99372
380;-47;-59;-72;-73;-22.3434;-18.264273
381;-49;-60;-76;-75;-23.5623;-16.997675
382;-49;-60;-76;-75;-22.8537;-16.076875
383;-50;-59;-78;-74;-23.207;-17.323474
384;-49;-59;-80;-74;-21.821;-17.081474
385;-49;-59;-74;-73;-21.8367;-17.414873
386;-51;-59;-71;-74;-21.7494;-16.880174
387;-47;-60;-72;-74;-22.1623;-16.643274
388;-48;-60;-73;-74;-22.5094;-16.579274
389;-48;-60;-75;-75;-22.8179;-16.577475
390;-49;-59;-76;-73;-22.599;-17.935673
391;-49;-59;-77;-73;-21.5411;-17.81373
392;-49;-59;-73;-73;-21.7311;-17.513473
393;-48;-59;-72;-73;-22.1263;-17.735573
394;-47;-59;-72;-74;-22.2943;-16.652774
395;-50;-60;-79;-74;-25.3526;-16.600774
396;-49;-59;-77;-73;-23.9809;-17.573973
397;-49;-59;-77;-73;-23.5114;-17.380273
398;-50;-59;-78;-73;-23.3723;-17.362773
399;-50;-59;-79;-74;-22.9006;-16.917574
